Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Sales_Rep
ORD-0001,01-01-2023,CUST-5788,Neha Agarwal,Central,Nagpur,Smartphones,Realme GT,1,29100,10,Priya Patel
ORD-0002,01-01-2023,CUST-4813,Swati Nambiar,North,Delhi,Accessories,Wireless Mouse,2,1800,5,Rohan Mehta
ORD-0003,01-02-2023,CUST-4234,Sanjay Joshi,North,Lucknow,Accessories,Mechanical Keyboard,1,2000,10,Sneha Reddy
ORD-0004,01-02-2023,CUST-7920,Sakshi Rathore,South,Chennai,Wearables,Samsung Galaxy Watch,1,27200,15,Rohan Mehta
ORD-0005,01-02-2023,CUST-7626,Akash Pillai,North,Chandigarh,Tablets,Samsung Tab S8,1,33800,10,Vikram Singh
ORD-0006,01-03-2023,CUST-3979,Pooja Desai,North,Jaipur,Tablets,Lenovo Tab P11,1,31100,25,Anjali Gupta
ORD-0007,01-03-2023,CUST-7862,Meera Chawla,North,Jaipur,Wearables,Fitbit Versa 4,1,14800,10,Anjali Gupta
ORD-0008,01-03-2023,CUST-4723,Kunal Dixit,South,Hyderabad,Smartphones,Realme GT,1,56600,10,Amit Kumar
ORD-0009,01-03-2023,CUST-0051,Sneha Sharma,West,Mumbai,Wearables,Mi Band 7,2,10800,10,Sneha Reddy
ORD-0010,01-04-2023,CUST-9409,Mohit Saxena,West,Surat,Smartphones,Realme GT,1,35200,20,Kavya Iyer
ORD-0011,01-04-2023,CUST-0208,Arjun Nair,Central,Nagpur,Smartphones,Xiaomi 13,1,40100,10,Vikram Singh
ORD-0012,01-05-2023,CUST-3178,Ananya Bose,East,Kolkata,Tablets,Lenovo Tab P11,1,30300,0,Vikram Singh
ORD-0013,01-05-2023,CUST-6316,Sameer Dutta,North,Jaipur,Tablets,Samsung Tab S8,1,32800,0,Amit Kumar
ORD-0014,01-05-2023,CUST-3979,Pooja Desai,West,Pune,Smartphones,Samsung Galaxy S23,1,30800,0,Vikram Singh
ORD-0015,01-05-2023,CUST-3585,Rahul Kapoor,West,Ahmedabad,Accessories,Mechanical Keyboard,2,1400,10,Priya Patel
ORD-0016,01-05-2023,CUST-9409,Mohit Saxena,West,Mumbai,Tablets,Samsung Tab S8,1,35400,0,Priya Patel
ORD-0017,01-05-2023,CUST-2605,Tanvi Kulkarni,East,Kolkata,Laptops,Lenovo ThinkPad,1,58500,0,Amit Kumar
ORD-0018,01-06-2023,CUST-3585,Rahul Kapoor,East,Kolkata,Accessories,Wireless Mouse,3,1800,0,Rohan Mehta
ORD-0019,01-06-2023,CUST-0051,Sneha Sharma,South,Bangalore,Wearables,Apple Watch Series 8,1,28800,10,Rahul Sharma
ORD-0020,01-06-2023,CUST-3666,Manish Arora,South,Chennai,Tablets,Samsung Tab S8,1,34600,10,Sneha Reddy
ORD-0021,01-07-2023,CUST-3666,Manish Arora,South,Chennai,Accessories,Webcam,2,1200,0,Kavya Iyer
ORD-0022,01-07-2023,CUST-7862,Meera Chawla,East,Ranchi,Laptops,Lenovo ThinkPad,1,56100,10,Sneha Reddy
ORD-0023,01-07-2023,CUST-1655,Divya Shah,South,Chennai,Tablets,Lenovo Tab P11,1,33400,15,Rahul Sharma
